id,Township,timestamp,population,longitude,latitude,AC_output_yearly,pcode_ts,hh_t,YR 1,YR 2,YR 3,YR 4,YR 5,YR 6,Total_Score,Total_yearly_demand,Normalized AC output,Normalized Ability to Pay,Normalized demand
35,Moehnin,01-05-2016 00:42,586,96.2988896,25.308776,958.5829468,MMR001007,39622,13867700,20326086,26744850,33203236,39622000,40810660,56,174574532,0.01823846,0.58974359,0.638952657
36,Moemouk,01-05-2016 00:55,177,97.5175936,24.863346,965.0762939,MMR001012,12370,4329500,6345810,8349750,10366060,12370000,12741100,43,54502220,0.030929596,0.423076923,0.185614
37,Momeik,01-05-2016 00:25,207,96.5959645,23.2278636,988.6670532,MMR015017,13652,4778200,7003476,9215100,11440376,13652000,14061560,44,60150712,0.077037331,0.435897436,0.206940147
38,Mongket,01-05-2016 00:26,166,99.33091,21.721395,1135.873901,MMR016002,8025,2808750,4116825,5416875,6724950,8025000,8265750,31,35358150,0.364750595,0.269230769,0.113334664
39,Mongpyek,01-05-2016 00:26,218,100.0970685,21.09727825,1143.386719,MMR016001,34096,11933600,17491248,23014800,28572448,34096000,35118880,62,150226976,0.379434269,0.666666667,0.547027315
40,Mongpyin,30-04-2016 23:57,828,98.7448116,21.07370205,1143.668823,MMR016007,13299,4654650,6822387,8976825,11144562,13299000,13697970,35,58595394,0.379985637,0.320512821,0.201067971
41,Mongyai,01-05-2016 00:20,240,97.9340334,22.29539475,1128.886108,MMR015003,13328,4664800,6837264,8996400,11168864,13328000,13727840,31,58723168,0.351093073,0.269230769,0.201550388
42,Myawaddy,01-05-2016 00:19,207,98.227399,17.031298,1408.463257,MMR003005,44016,15405600,22580208,29710800,36885408,44016000,45336480,56,193934496,0.897521825,0.58974359,0.71204711
43,Myitkyina,01-05-2016 00:17,406,97.5198125,25.94655935,949.2513428,MMR001001,52591,18406850,26979183,35498925,44071258,52591000,54168730,63,231715946,0,0.679487179,0.85469275
44,Nam san,01-05-2016 00:26,132,97.2177444,22.7340757,995.7116699,MMR015016,13685,4789750,7020405,9237375,11468030,13685000,14095550,29,60296110,0.090805914,0.243589744,0.207489104
45,Nanyun,01-05-2016 00:32,821,96.08643,27.018,986.2043457,MMR005037,7840,2744000,4021920,5292000,6569920,7840000,8075200,10,34543040,0.072224012,0,0.110257178
46,Nawnghkio,01-05-2016 00:33,301,96.85646,22.046825,1131.921387,MMR015013,32224,11278400,16530912,21751200,27003712,32224000,33190720,48,141978944,0.357025474,0.487179487,0.515886482
